Position Holder,Company,ISIN,Position (%),Date
Quadrature Capital Limited,Yamashin-Filter Corp,JP3936600000,0.94,2024-12-09
"Arrowstreet Capital, Limited Partnership",Applied Digital Corp,US0381692070,3.11,2024-12-09
"Arrowstreet Capital, Limited Partnership",Super Micro Computer Inc,US86800U3023,2.17,2024-12-09
"Arrowstreet Capital, Limited Partnership",Lotus Resources Ltd,AU0000058737,0.51,2024-12-06
"Arrowstreet Capital, Limited Partnership",Cybin Inc,CA23256X4075,0.8,2024-12-05
Ennismore Fund Management Limited,BayWa Aktiengesellschaft,DE0005194062,0.54,2024-12-05
Squarepoint Ops LLC,Biora Therapeutics Inc,US74319F4046,0.89,2024-12-05
Squarepoint Ops LLC,Aqua Metals Inc,US03837J2006,0.51,2024-12-04
"Arrowstreet Capital, Limited Partnership",FTC SOLAR,US30320C3016,1.23,2024-12-03
Squarepoint Ops LLC,"Allbirds, Inc.",US01675A2087,0.61,2024-11-27
Schonfeld Strategic Advisors (Hong Kong) Ltd,"Nomura Micro Science Co., Ltd.",JP3762950008,0.5,2024-11-19
"Arrowstreet Capital, Limited Partnership",Allbirds Inc,US01675A2087,1.13,2024-11-14
"Arrowstreet Capital, Limited Partnership",Aqua Metals Inc,US03837J2006,0.65,2024-11-06
Fosse Capital Partners LLP,Nagarro SE,DE000A3H2200,1.28,2024-10-29
Ennismore Fund Management Limited,Nagarro SE,DE000A3H2200,0.74,2024-10-11
"Centiva Capital, LP",K+S Aktiengesellschaft,DE000KSAG888,0.54,2024-10-11
Bronte Capital Management Pty Ltd,Mega Matrix Inc.,KYG6005C1087,0.64,2024-10-10
Polar Asset Management Partners Inc.,Fortuna Mining Corp,CA3499421020,0.81,2024-09-20
"Arrowstreet Capital, Limited Partnership",Innovex International Inc,US4576511079,0.93,2024-09-18
JPMorgan Asset Management (UK) Ltd,GFT Technologies SE,DE0005800601,0.61,2024-09-17
Polar Asset Management Partners Inc.,Repay Holdings Corp,US76029L1008,0.58,2024-09-10
Quadrature Capital Limited,LITALICO INC,JP3974470001,0.79,2024-09-09
Squarepoint Ops LLC,2U Inc,US90214J2006,0.75,2024-07-17
Bronte Capital Management Pty Ltd,Outlook Therapeutics Inc,US69012T3059,0.59,2024-06-28
Squarepoint Ops LLC,Emcore Corp,US2908464017,1.2,2024-06-18
Squarepoint Ops LLC,MP Materials,US5533681012,0.98,2024-06-11
Boussard & Gavaudan Partners Limited,Siemens Energy AG,DE000ENER6Y0,1.8,2024-06-10
Squarepoint Ops LLC,AgEagle Aerial Systems Inc.,US00848K2006,1.2,2024-02-28
Squarepoint Ops LLC,Alaunos Therapeutics Inc,US98973P2002,0.5,2024-02-27
Squarepoint Ops LLC,Calamp Corp.,US1281262089,1.2,2024-02-22
Davidson Kempner Capital Management LLC,Sphere Entertainment Co,US55826T1025,1.24,2024-02-08
Walleye Capital LLC,Diversified Energy Company Plc,GB00BQHP5P93,0.6,2024-02-01
"Arrowstreet Capital, Limited Partnership",Redcare Pharmacy NV,NL0012044747,0.78,2023-12-21
Walleye Capital LLC,Renewable Japan Co. Ltd.,JP3974580007,0.63,2023-12-18
SCHONFELD STRATEGIC ADVISORS LLC,Mural Oncology,IE000LK2BOB4,0.96,2023-12-15
State of Wisconsin Investment Board,Liberty Global Ltd,BMG611881274,1.71,2023-11-27
Qube Research & Technologies Limited,VOLKSWAGEN AKTIENGESELLSCHAFT,DE0007664039,0.58,2023-11-22
Fosse Capital Partners LLP,Domino`s Pizza Group Plc,GB00BYN59130,1.2,2023-11-14
Walleye Capital LLC,Bionano Genomics Inc,US09075F3055,0.9,2023-10-13
Systematica Investments Limited,Enviva Inc,US29415B1035,1.61,2023-10-12
Walleye Capital LLC,Ferrotec Holdings Corporation,JP3802720007,0.71,2023-10-04
Squarepoint Ops LLC,Energous Corp,US29272C2026,1.0,2023-09-27
Walleye Capital LLC,Toro Corp,MHY8900D1085,0.59,2023-09-26
Squarepoint Ops LLC,Express Inc.,US30219E2028,0.97,2023-09-21
Walleye Capital LLC,Assertio Holdings Inc,US04546C2052,0.99,2023-09-05
Bronte Capital Management Pty Ltd,Bionano Genomics Inc,US09075F3055,0.77,2023-08-15
Walleye Capital LLC,Mallinckrodt Plc,IE000O3L0NQ3,0.71,2023-06-14
Squarepoint Ops LLC,ContextLogic Inc,US21077C3051,1.27,2023-06-14
Squarepoint Ops LLC,Predictive Oncology Inc,US74039M3097,1.24,2023-05-16
Walleye Capital LLC,"Republic First Bancorp, Inc.",US7604161072,0.52,2023-05-08
Magnetar Financial LLC,Frontline plc,CY0200352116,1.53,2023-01-19
Citadel GP LLC,Camber Energy Inc.,US13200M6075,2.39,2023-01-11
"Atlas Special Opportunities, LLC",fox e-mobility AG,DE000A2NB551,4.0,2022-12-08
Fosse Capital Partners LLP,Kontron AG,AT0000A0E9W5,1.65,2022-11-29
DNB Asset Management AS,ProSiebenSat.1 Media SE,DE000PSM7770,0.6,2022-10-17
Bronte Capital Management Pty Ltd,Hall of Fame Resort & Entertainment Company,US40619L1026,0.54,2022-10-06
Bronte Capital Management Pty Ltd,CryoPort Inc,US2290503075,0.5,2022-09-23
Gladstone Capital Management LLP,TUI AG,DE000TUAG000,1.1,2022-09-22
Millennium International Management LP,SAF-HOLLAND SE,DE000SAFH001,0.94,2022-05-30
UBS O'Connor Limited,Westwing Group SE,DE000A2N4H07,0.68,2022-05-16
Squarepoint Ops LLC,Virgin Galactic Holdings Inc,US92766K1060,0.53,2022-03-07
Bronte Capital Management Pty Ltd,Cenntro Electric Group Limited,AU0000198582,0.64,2022-02-23
Voleon Capital Management LP,Lang & Schwarz Aktiengesellschaft,DE0006459324,0.59,2022-02-02
Bronte Capital Management Pty Ltd,Danimer Scientific Inc,US2362721001,0.5,2022-01-24
Henderson Global Investors Limited,"Sesen Bio, Inc",US8177631053,0.51,2021-10-20
Bronte Capital Management Pty Ltd,The Glimpse Group Inc,US37892C1062,0.89,2021-09-28
Bronte Capital Management Pty Ltd,Jaguar Health Inc,US47010C6075,0.97,2021-09-10
Qube Research & Technologies Limited,Ashford Hospitality Trust Inc,US0441038694,0.59,2021-09-09
Canada Pension Plan Investment Board,Zymergen Inc,US98985X1000,0.68,2021-08-23
Bronte Capital Management Pty Ltd,Novan Inc,US66988N2053,0.7,2021-07-27
Qube Research & Technologies Limited,MorphoSys AG,US6177602025,0.53,2021-06-17
Canada Pension Plan Investment Board,Upwork,US91688F1049,0.82,2021-03-17
Canada Pension Plan Investment Board,Whitbread,GB00B1KJJ408,0.67,2021-01-29
Canada Pension Plan Investment Board,InterContinental Hotels Group,GB00BHJYC057,0.96,2021-01-29
Thunderbird Partners LLP,Smith (DS) plc,GB0008220112,0.66,2021-01-05
AHL Partners LLP,ElringKlinger AG,DE0007856023,1.08,2020-10-21
Systematica Investments Limited,GROUPON INC,US3994732069,1.62,2020-07-29
Millennium Capital Partners LLP,RIB Software SE,DE000A254260,0.69,2020-05-12
TT International Asset Management Ltd,Bilfinger SE,DE0005909006,0.52,2020-03-25
Sand Grove Capital Management LLP,RIB Software SE,DE000A0Z2XN6,0.68,2020-03-20
Tybourne Equity Master Fund,HUGO BOSS AG,DE000A1PHFF7,0.72,2020-03-13
Melqart Asset Management (UK) Ltd.,RIB Software SE,DE000A0Z2XN6,1.18,2020-03-05
Melvin Capital Management LP,Cimpress Deutschland GmbH,IE00BKYC3F77,2.28,2020-03-02
Capital Fund Management SA,Bobst Group SA,CH0012684657,0.5,2020-01-16
TT International,LEONI AG,DE0005408884,0.74,2020-01-14
UBS O'Connor LLC,Aroundtown SA,LU1673108939,0.72,2020-01-08
EXANE ASSET MANAGEMENT,Jungheinrich Aktiengesellschaft,DE0006219934,0.51,2019-12-18
Lancaster Investment Management LLP,Gerresheimer AG,DE000A0LD6E6,0.58,2019-09-27
BODENHOLM CAPITAL AB,CANCOM SE,DE0005419105,0.56,2019-07-18
Citadel Europe LLP,LEONI AG,DE0005408884,1.16,2019-06-06
"AQR Capital Management, LLC",TUI AG,DE000TUAG000,0.72,2019-05-31
Winton Capital Management Limited,Salzgitter Aktiengesellschaft,DE0006202005,0.6,2019-04-01
EXANE ASSET MANAGEMENT,Bilfinger SE,DE0005909006,0.5,2018-12-10
BlueCrest Capital Management Limited,COSMO Pharmaceuticals N.V.,NL0011832936,0.5,2018-12-05
Wellington Management International Limited,Aumann AG,DE000A2DAM03,0.5,2018-11-16
"BlueMountain Capital Management, LLC",Heidelberger Druckmaschinen Aktiengesellschaft,DE0007314007,0.59,2018-10-19
Weiss Asset Management LP,QIAGEN N.V.,NL0012169213,0.51,2018-08-31
BNP PARIBAS SA,QIAGEN N.V.,NL0012169213,0.74,2018-08-27
"Point72 Asset Management, L.P.","Optinose, Inc.",US68404V1008,0.52,2018-08-21
BNP PARIBAS SA,SAF HOLLAND SA,LU0307018795,0.69,2018-08-17
Pictet Asset Management Ltd,NORMA Group SE,DE000A1H8BV3,0.5,2018-07-16
"Davidson Kempner European Partners, LLP",BE Semiconductor Industries NV,NL0012866412,0.74,2018-07-03
CQS (UK) LLP,LEG Immobilien AG,DE000A2GSDH2,1.39,2018-06-22
CQS (UK) LLP,BE Semiconductor Industries,NL0012866412,0.79,2018-06-21
BNP PARIBAS SA,QIAGEN N.V.,NL0000240000,0.64,2018-06-19
CQS (UK) LLP,LEG Immobilien AG,DE000LEG1CB5,1.3,2018-06-15
Soros Fund Management LLC,CANCOM SE,DE0005419105,1.0,2018-06-14
Canada Pension Plan Investment Board,boohoo.com plc,JE00BG6L7297,0.5,2018-06-13
"Point72 Asset Management, L.P.","AMNEAL PHARMACEUTICALS, INC.",US03168L1052,0.58,2018-06-13
BNP PARIBAS SA,AURELIUS Equity Opportunities SE & Co. KGaA,DE000A0JK2A8,0.67,2018-05-30
Pictet Asset Management Ltd,Bilfinger SE,DE0005909006,0.53,2018-04-05
"Connor, Clark & Lunn Investment Management Ltd",DREAM GLOBAL REIT,CA26154A1066,0.81,2018-03-28
SFM UK Management LLP,KRONES Aktiengesellschaft,DE0006335003,0.52,2018-02-12
"PDT Partners, LLC","AnaptysBio, Inc.",US0327241065,0.59,2018-02-07
BNP PARIBAS SA,alstria office REIT-AG,DE000A0LD2U1,1.59,2018-01-31
"PDT Partners, LLC","HERTZ GLOBAL HOLDINGS, INC.",US42806J1060,1.74,2018-01-26
Capital Fund Management SA,Salzgitter Aktiengesellschaft,DE0006202005,0.5,2018-01-04
"AQR Capital Management, LLC",Sartorius Aktiengesellschaft,DE0007165631,0.8,2017-12-07
Voleon Capital Management LP,Medigene AG,DE000A1X3W00,0.55,2017-12-04
DSAM Partners (London) Ltd,Südzucker AG,DE0007297004,0.58,2017-11-16
GSA Capital Partners LLP,S&T AG,AT0000A0E9W5,0.52,2017-11-14
PSquared Asset Management AG,Linde Aktiengesellschaft,DE000A2E4L75,0.64,2017-11-10
GSA Capital Partners LLP,ADVA Optical Networking SE,DE0006452907,0.5,2017-10-26
BNP PARIBAS SA,Aurubis AG,DE0006766504,1.14,2017-10-24
GSA Capital Partners LLP,HAMBORNER REIT AG,DE0006013006,0.5,2017-10-13
GSA Capital Partners LLP,Bertrandt Aktiengesellschaft,DE0005232805,0.53,2017-09-28
Adage Capital Management L.P.,Wacker Chemie AG,DE000WCH8881,0.82,2017-09-28
Adage Capital Management L.P.,HUGO BOSS AG,DE000A1PHFF7,0.56,2017-09-21
BlackRock Advisors (UK) Limited,zooplus AG,DE0005111702,0.53,2017-09-18
BlackRock Investment Management (UK) Limited,Software Aktiengesellschaft,DE0003304002,1.08,2017-09-12
"Wellington Management Company, LLP",ADVA Optical Networking SE,DE0005103006,0.52,2017-09-12
BNP PARIBAS SA,Deutsche EuroShop AG,DE0007480204,0.5,2017-08-30
GLG Partners LP,Software Aktiengesellschaft,DE0003304002,0.88,2017-08-18
BNP PARIBAS SA,SAF-HOLLAND SA,LU0307018795,0.9,2017-08-14
BlackRock Investment Management (UK) Limited,GFT Technologies SE,DE0005800601,0.58,2017-08-01
BODENHOLM CAPITAL AB,Software Aktiengesellschaft,DE0003304002,0.54,2017-07-18
Citadel Advisors II LLC,Medigene AG,DE0005020903,0.57,2017-06-16
BNP PARIBAS SA,Aurubis AG,DE0006766504,1.66,2017-06-13
BNP PARIBAS SA,alstria office REIT-AG,DE000A0LD2U1,1.4,2017-06-12
Citadel Advisors LLC,Medigene AG,DE000A1X3W00,0.5,2017-05-24
BlackRock Investment Management (UK) Limited,STRATEC Biomedical AG,DE0007289001,0.5,2017-05-22
Caledonia (Private) Investments Pty Limited,Zalando SE,DE000ZAL1111,0.83,2017-03-01
BNP PARIBAS SA,Deutsche Wohnen AG,DE000A0HN5C6,0.67,2017-02-22
BNP PARIBAS SA,Deutsche Wohnen AG,DE000A0HN5C6,0.79,2017-02-10
Systematica Investments Limited,AMS AG,AT0000A18XM4,0.6,2017-02-06
"AQR Capital Management, LLC",Qiagen NV,NL0000240000,1.38,2017-01-18
BNP Paribas S.A. Niederlassung Deutschland,alstria office REIT-AG,DE000A0LD2U1,0.81,2017-01-06
BNP Paribas S.A. Niederlassung Deutschland,Klöckner & Co SE,DE000KC01000,0.53,2017-01-05
BNP Paribas S.A. Niederlassung Deutschland,Deutsche EuroShop AG,DE0007480204,0.6,2016-12-27
BNP Paribas S.A. Niederlassung Deutschland,CANCOM SE,DE0005419105,1.1,2016-12-26
BNP Paribas S.A. Niederlassung Deutschland,Deutsche Wohnen AG,DE000A0HN5C6,0.65,2016-12-02
GF Trading LLC,publity AG,DE0006972508,0.69,2016-11-29
Baader Bank Aktiengesellschaft,Schön & Cie Aktiengesellschaft,DE0007198806,0.73,2016-11-21
UBS Asset Management (UK) Ltd,Hamburger Hafen und Logistik Aktiengesellschaft,DE000A0S8488,0.89,2016-10-17
EXANE ASSET MANAGEMENT,MTU Aero Engines AG,DE000A0D9PT0,0.59,2016-09-28
BNP Paribas S.A. Niederlassung Deutschland,Drillisch Aktiengesellschaft,DE0005545503,0.8,2016-08-11
UBS Global Asset Management (UK) Ltd,SGL Carbon SE,DE0007235301,1.34,2016-05-25
"Hoplite Partners, L.P.",Rocket Internet SE,DE000A12UKK6,0.6,2016-04-27
"Point72 Asset Management, L.P.",Mobileye N.V.,NL0010831061,0.84,2016-03-29
"AQR Capital Management, LLC",Ensco plc,GB00B4VLR192,0.99,2016-03-22
Pacific Investment Management Company LLC,Ensco Plc,GB00B4VLR192,0.78,2016-03-11
UBS Global Asset Management (UK) Ltd,Hamburger Hafen und Logistik Aktiengesellschaft,DE000A0S8488,0.99,2016-01-14
BG Master Fund Plc,Volkswagen Versicherung Aktiengesellschaft,DE0007664039,1.41,2015-08-07
UBS Global Asset Management (UK) Ltd,Fraport AG Frankfurt Airport Services Worldwide,DE0005773303,0.5,2015-06-22
"Highbridge Statistical Opportunities Master Fund, L.P.",Klöckner & Co SE,DE000KC01000,0.52,2015-06-11
Whitebox Advisors,BUWOG AG,AT00BUWOG001,0.94,2015-05-13
BlackRock Investment Management (UK) Limited,Brunel International N.V.,NL0010776944,0.81,2015-04-02
Swiss & Global Asset Management AG,STADA Arzneimittel Aktiengesellschaft,DE0007251803,0.54,2015-03-30
Columbus Circle Investors,SMA Solar Technology AG,DE000A0DJ6J9,0.52,2014-08-21
BlackRock Investment Management (UK) Limited,DAISY GROUP PLC,GB00B61G9L20,0.74,2014-05-15
"The Goldman Sachs Group, Inc.","Liberty Global, Inc.",GB00B8W67662,0.52,2014-02-24
Castle Creek Arbitrage LLC,QIAGEN N.V.,NL0000240000,1.34,2014-02-14
Makuria Investment Management (UK) LLP,SolarWorld Aktiengesellschaft,DE0005108401,1.34,2014-01-24
Alden Global Capital Limited,SolarWorld Aktiengesellschaft,DE0005108401,1.35,2014-01-02
SUNRISE PARTNERS LIMITED PARTNERSHIP,Deutsche Wohnen AG,DE000A0HN5C6,0.55,2013-12-06
Barrington Wilshire LLC,AIXTRON SE,DE000A0WMPJ6,0.57,2013-08-12
CQS Convertible and Quantitative Strategies Master Fund Limited,TAG Immobilien AG,DE0008303504,0.77,2013-07-29
Ferox Capital LLP,QIAGEN,NL0000240000,0.52,2013-04-30
"Overland Advisors, LLC",Südzucker Aktiengesellschaft Mannheim/Ochsenfurt,DE0007297004,1.0,2012-11-07
Oxford Asset Management,Prelios Spa,IT0003270615,1.29,2012-11-06
Oxford Asset Management,Unipol Gruppo Finanziario Spa,IT0004810054,0.61,2012-11-06
SUNRISE PARTNERS LIMITED PARTNERSHIP,Modern Times Group AB,SE0000412371,0.6,2012-11-06
"Luxor Capital Group, LP",Logitech International S.A.,CH0025751329,0.97,2012-11-02
"Tiger Global Management, LLC",Global PVQ SE,DE0005558662,0.63,2012-11-02
"Wellington Management Company, LLP",Rofin-Sinar Technologies Inc.,US7750431022,0.51,2012-11-02
"D. E. Shaw Valence International, Inc.",LEONI AG,DE0005408884,0.83,2012-10-29
"Pennant Windward Master Fund, LP",AIXTRON SE,DE000A0WMPJ6,1.55,2012-10-29
"Tiger Global Investments, L.P.",SolarWorld Aktiengesellschaft,DE0005108401,0.72,2012-10-26
"Tiger Global Investments, L.P.",Asian Bamboo AG,DE000A0M6M79,2.07,2012-10-26
