"Position date","Change Position Date",Issuer,ISIN,"Position holder","Net short position"
15/05/2025,,MELEXIS,BE0165385973,"Numeric Investors LLC","0,67"
14/05/2025,,SOLVAY,BE0003470755,"CITADEL ADVISORS EUROPE LIMITED","0,59"
14/05/2025,,AEDIFICA,BE0003851681,"SAND GROVE CAPITAL MANAGEMENT LLP","0,62"
13/05/2025,,COFINIMMO,BE0003593044,"BALYASNY ASSET MANAGEMENT L.P.","0,79"
13/05/2025,,SOLVAY,BE0003470755,"CITADEL ADVISORS LLC","0,69"
02/05/2025,,ONTEX,BE0974276082,"MARSHALL WACE LLP","0,52"
29/04/2025,,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","2,91"
02/04/2025,,SOLVAY,BE0003470755,"Numeric Investors LLC","0,63"
01/04/2025,,UMICORE,BE0974320526,"CONNOR, CLARK & LUNN INVESTMENT MANAGEMENT LTD.","0,50"
31/03/2025,,RECTICEL,BE0003656676,"SABA CAPITAL MANAGEMENT, L.P.","0,50"
11/03/2025,,UMICORE,BE0974320526,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,16"
04/12/2024,,MELEXIS,BE0165385973,"JP MORGAN ASSET MANAGEMENT (UK) LIMITED","0,64"
22/11/2024,,UMICORE,BE0974320526,"AQR CAPITAL MANAGEMENT, LLC","0,59"
21/08/2024,,"CP INVEST",BE0974273055,"CAPITAL VENTURES INTERNATIONAL","0,98"
14/12/2023,,BARCO,BE0974362940,"JPMORGAN ASSET MANAGEMENT (UK) LIMITED","1,02"
16/06/2023,,BIOCARTIS,BE0974281132,"Whitebox Advisors LLC","1,21"