"Position holder";"Name of the issuer";"ISIN";"Net short position";"Position date"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.72";"2024-09-09 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.80";"2024-09-02 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.51";"2024-08-30 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.61";"2024-08-28 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.71";"2024-08-23 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.67";"2024-08-22 00:00:00"
"Canada Pension Plan Investment Board";"BE Semiconductor Industries N.V.";"NL0012866412";"0.50";"2024-08-20 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.98";"2024-08-19 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.53";"2024-08-19 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.00";"2024-08-16 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.59";"2024-08-15 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.48";"2024-08-14 00:00:00"
"Wellington Management International Ltd.";"Basic-Fit N.V.";"NL0011872650";"0.71";"2024-08-14 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"1.39";"2024-08-13 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.99";"2024-08-13 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.69";"2024-08-13 00:00:00"
"Highbridge Capital Management LLC";"Pharming Group N.V.";"NL0010391025";"1.15";"2024-08-12 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.00";"2024-08-12 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.31";"2024-08-12 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Basic-Fit N.V.";"NL0011872650";"0.60";"2024-08-09 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.70";"2024-08-09 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.67";"2024-08-08 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.93";"2024-08-08 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.73";"2024-08-08 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.20";"2024-08-08 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.12";"2024-08-07 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.03";"2024-08-06 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.48";"2024-08-05 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.94";"2024-08-05 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.66";"2024-08-02 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.00";"2024-08-01 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.87";"2024-07-31 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.71";"2024-07-31 00:00:00"
"Highbridge Capital Management LLC";"Pharming Group N.V.";"NL0010391025";"1.20";"2024-07-30 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.53";"2024-07-24 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.45";"2024-07-23 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.99";"2024-07-22 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.91";"2024-07-22 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.61";"2024-07-19 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.59";"2024-07-18 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.86";"2024-07-18 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.09";"2024-07-16 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.67";"2024-07-15 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.93";"2024-07-15 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.79";"2024-07-08 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.81";"2024-07-08 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.12";"2024-07-04 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.82";"2024-07-01 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.01";"2024-06-28 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.72";"2024-06-28 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.75";"2024-06-27 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.09";"2024-06-26 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"1.49";"2024-06-25 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.62";"2024-06-25 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.31";"2024-06-24 00:00:00"
"BlackRock Advisors, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.69";"2024-06-19 00:00:00"
"Wellington Management International Ltd.";"Basic-Fit N.V.";"NL0011872650";"0.60";"2024-06-18 00:00:00"
"BlackRock Advisors, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.70";"2024-06-17 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.52";"2024-06-14 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.91";"2024-06-13 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.20";"2024-06-13 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.27";"2024-06-12 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.58";"2024-06-12 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.89";"2024-06-11 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.90";"2024-06-10 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.42";"2024-06-10 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.10";"2024-06-06 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"1.00";"2024-06-05 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.38";"2024-06-05 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.10";"2024-06-05 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.06";"2024-06-04 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.40";"2024-06-04 00:00:00"
"BlackRock Advisors, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.69";"2024-06-03 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.11";"2024-06-03 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.29";"2024-05-29 00:00:00"
"Wellington Management International Ltd.";"Basic-Fit N.V.";"NL0011872650";"0.52";"2024-05-28 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.39";"2024-05-27 00:00:00"
"BlackRock Advisors, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.70";"2024-05-24 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.07";"2024-05-23 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.33";"2024-05-22 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.15";"2024-05-21 00:00:00"
"BlackRock Advisors, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.62";"2024-05-20 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.09";"2024-05-17 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.23";"2024-05-15 00:00:00"
"BlackRock Advisors, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.52";"2024-05-14 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.49";"2024-05-14 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.51";"2024-05-09 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.11";"2024-05-08 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.66";"2024-05-02 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.72";"2024-04-30 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.86";"2024-04-29 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.15";"2024-04-29 00:00:00"
"Highbridge Capital Management LLC";"Pharming Group N.V.";"NL0010391025";"1.14";"2024-04-26 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.09";"2024-04-26 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.10";"2024-04-25 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.97";"2024-04-25 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"0.92";"2024-04-24 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.41";"2024-04-24 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"1.06";"2024-04-24 00:00:00"
"Highbridge Capital Management LLC";"Pharming Group N.V.";"NL0010391025";"1.00";"2024-04-23 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.09";"2024-04-23 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"1.21";"2024-04-23 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.10";"2024-04-22 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.07";"2024-04-19 00:00:00"
"Highbridge Capital Management LLC";"Pharming Group N.V.";"NL0010391025";"0.94";"2024-04-18 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.18";"2024-04-18 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.01";"2024-04-18 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.95";"2024-04-17 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"1.00";"2024-04-16 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"0.80";"2024-04-15 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.98";"2024-04-15 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.81";"2024-04-12 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"0.72";"2024-04-10 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.71";"2024-04-08 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.30";"2024-04-05 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.62";"2024-04-02 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.48";"2024-03-26 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"0.64";"2024-03-25 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Basic-Fit N.V.";"NL0011872650";"0.55";"2024-03-22 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.58";"2024-03-21 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.29";"2024-03-20 00:00:00"
"AKO Capital LLP";"Akzo Nobel N.V.";"NL0013267909";"0.51";"2024-03-19 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.31";"2024-03-19 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.28";"2024-03-15 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.50";"2024-03-14 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.43";"2024-03-12 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.37";"2024-03-08 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.21";"2024-03-06 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.18";"2024-03-05 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.69";"2024-03-04 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.59";"2024-02-29 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.23";"2024-02-26 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.79";"2024-02-23 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.11";"2024-02-23 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.02";"2024-02-20 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.69";"2024-02-20 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.89";"2024-02-19 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.95";"2024-02-16 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.40";"2024-02-16 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.70";"2024-02-16 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.96";"2024-02-15 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.30";"2024-02-14 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.66";"2024-02-14 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"2.08";"2024-02-13 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"1.19";"2024-02-13 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.83";"2024-02-12 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"0.90";"2024-02-12 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.71";"2024-02-05 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"1.31";"2024-02-02 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.74";"2024-02-01 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"1.20";"2024-02-01 00:00:00"
"Jefferies Financial Group Inc.";"argenx SE";"NL0010832176";"0.66";"2024-01-30 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"2.18";"2024-01-29 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.89";"2024-01-29 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.93";"2024-01-26 00:00:00"
"Jefferies Financial Group Inc.";"argenx SE";"NL0010832176";"0.55";"2024-01-24 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.60";"2024-01-24 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.00";"2024-01-22 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"0.83";"2024-01-22 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"0.72";"2024-01-18 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"1.10";"2024-01-16 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"0.51";"2024-01-15 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.99";"2024-01-11 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"1.03";"2024-01-11 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"0.50";"2024-01-10 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"1.01";"2023-12-18 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.90";"2023-12-18 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.88";"2023-12-15 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.93";"2023-12-14 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.81";"2023-12-12 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.78";"2023-12-11 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"2.25";"2023-12-08 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"2.15";"2023-12-07 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Basic-Fit N.V.";"NL0011872650";"0.62";"2023-12-06 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"2.09";"2023-12-06 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.61";"2023-12-06 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.92";"2023-12-05 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.57";"2023-12-05 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.83";"2023-12-04 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.72";"2023-11-30 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.69";"2023-11-29 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.50";"2023-11-23 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.43";"2023-11-21 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.36";"2023-11-06 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Basic-Fit N.V.";"NL0011872650";"0.52";"2023-11-01 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.40";"2023-11-01 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.12";"2023-10-30 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.00";"2023-10-25 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.77";"2023-10-25 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.87";"2023-10-23 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"0.92";"2023-10-20 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.91";"2023-10-20 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"0.82";"2023-10-17 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"0.75";"2023-10-16 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"0.64";"2023-09-20 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"1.56";"2023-08-31 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"0.54";"2023-07-21 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"0.64";"2023-07-19 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"0.79";"2023-07-18 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"0.87";"2023-07-17 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.91";"2023-07-06 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.80";"2023-06-13 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"1.00";"2023-06-13 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"1.60";"2023-06-12 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.70";"2023-06-02 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.90";"2023-06-02 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"1.50";"2023-05-31 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.82";"2023-05-30 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"1.40";"2023-05-24 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"1.30";"2023-05-19 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"1.20";"2023-05-05 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"1.11";"2023-05-04 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"1.02";"2023-04-28 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"0.91";"2023-04-27 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"0.84";"2023-04-20 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"0.71";"2023-04-05 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"0.61";"2023-03-29 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"0.52";"2023-03-24 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.70";"2022-12-19 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.65";"2022-12-16 00:00:00"
"Otus Capital Management Ltd.";"TomTom N.V.";"NL0013332471";"0.57";"2022-12-15 00:00:00"
"Fosse Capital Partners LLP";"Basic-Fit N.V.";"NL0011872650";"1.43";"2022-12-01 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.58";"2022-11-15 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.74";"2022-11-14 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.88";"2022-10-14 00:00:00"
"Fosse Capital Partners LLP";"Basic-Fit N.V.";"NL0011872650";"1.17";"2022-10-07 00:00:00"
"Fosse Capital Partners LLP";"Basic-Fit N.V.";"NL0011872650";"1.05";"2022-10-04 00:00:00"
"Fosse Capital Partners LLP";"Basic-Fit N.V.";"NL0011872650";"0.56";"2022-10-03 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.70";"2022-09-12 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.60";"2022-09-07 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.53";"2022-09-05 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.48";"2022-09-02 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.30";"2022-06-08 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.22";"2022-06-03 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.17";"2022-05-11 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.28";"2022-03-01 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.38";"2022-02-04 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.20";"2021-08-26 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.11";"2021-08-20 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.06";"2021-08-18 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"0.80";"2021-08-17 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"0.70";"2021-08-13 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"0.67";"2021-08-12 00:00:00"
"Millennium International Management LP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.50";"2018-03-09 00:00:00"

"Disclaimer AFM CSV"
"Date last update 19 May 2025"
